,Word,Occurences_Before,Occurences_After,Percent_Before,Percent_After,Delta
45,там,90,94,0.001798956605169002,0.0020353369132166984,0.00023638030804769652
46,для,88,85,0.001758979791720802,0.0018404642300363762,8.148443831557431e-05
47,те,83,52,0.0016590377581003019,0.0011259310583751948,-0.000533106699725107
48,нам,83,66,0.0016590377581003019,0.0014290663433223628,-0.00022997141477793903
49,хай,82,46,0.0016390493513762019,0.00099601593625498,-0.0006430334151212218
50,було,82,58,0.0016390493513762019,0.0012558461804954098,-0.0003832031708807921
51,є,81,71,0.0016190609446521018,0.0015373289450892084,-8.173199956289343e-05
52,тут,81,80,0.0016190609446521018,0.0017322016282695306,0.0001131406836174288
53,щоб,80,91,0.0015990725379280018,0.001970379352156591,0.00037130681422858935
54,час,78,57,0.0015590957244798018,0.0012341936601420406,-0.0003249020643377612
55,їх,78,69,0.0015590957244798018,0.00149402390438247,-6.507182009733172e-05
56,тепер,76,85,0.0015191189110316016,0.0018404642300363762,0.00032134531900477464
57,навіть,75,46,0.0014991305043075016,0.00099601593625498,-0.0005031145680525215
58,тобі,73,74,0.0014591536908593015,0.0016022865061493157,0.00014313281529001413
59,ось,72,62,0.0014391652841352015,0.0013424562619088862,-9.670902222631535e-05
60,немає,71,36,0.0014191768774111015,0.0007794907327212888,-0.0006396861446898127
61,без,71,67,0.0014191768774111015,0.0014507188636757318,3.154198626463024e-05
62,и,70,35,0.0013991884706870015,0.0007578382123679196,-0.0006413502583190819
63,ні,69,78,0.0013792000639629015,0.0016888965875627923,0.0003096965235998908
64,над,69,76,0.0013792000639629015,0.001645591546856054,0.0002663914828931525
65,бо,68,107,0.0013592116572388015,0.0023168196778104973,0.0009576080205716958
66,то,67,64,0.0013392232505147015,0.0013857613026156245,4.6538052100923016e-05
67,просто,67,46,0.0013392232505147015,0.00099601593625498,-0.00034320731425972143
68,зі,64,60,0.0012792580303424015,0.0012991512212021479,1.9893190859746404e-05
69,б,64,35,0.0012792580303424015,0.0007578382123679196,-0.0005214198179744818
70,життя,64,51,0.0012792580303424015,0.0011042785380218256,-0.00017497949232057582
71,якщо,63,65,0.0012592696236183015,0.0014074138229689937,0.00014814419935069221
72,тому,62,34,0.0012392812168942014,0.0007361856920145505,-0.000503095524879651
73,цей,60,46,0.0011993044034460012,0.00099601593625498,-0.00020328846719102115
74,собі,58,42,0.0011593275899978012,0.0009094058548415035,-0.00024992173515629766
75,тільки,58,63,0.0011593275899978012,0.0013641087822622553,0.00020478119226445416
76,того,57,31,0.0011393391832737012,0.0006712281309544431,-0.0004681110523192581
77,можна,57,41,0.0011393391832737012,0.0008877533344881344,-0.0002515858487855668
78,них,56,51,0.0011193507765496012,0.0011042785380218256,-1.5072238527775528e-05
79,наче,55,60,0.0010993623698255012,0.0012991512212021479,0.0001997888513766467
80,той,55,19,0.0010993623698255012,0.0004113978867140135,-0.0006879644831114877
81,нічого,55,42,0.0010993623698255012,0.0009094058548415035,-0.00018995651498399763
82,при,54,34,0.0010793739631014012,0.0007361856920145505,-0.0003431882710868507
83,мов,53,41,0.0010593855563773011,0.0008877533344881344,-0.00017163222188916678
84,слова,53,52,0.0010593855563773011,0.0011259310583751948,6.654550199789366e-05
85,хтось,52,32,0.0010393971496532011,0.0006928806513078123,-0.0003465164983453889
86,саме,52,33,0.0010393971496532011,0.0007145331716611814,-0.0003248639779920197
87,які,51,52,0.0010194087429291011,0.0011259310583751948,0.00010652231544609368
88,знаю,51,32,0.0010194087429291011,0.0006928806513078123,-0.00032652809162128887
89,завжди,51,25,0.0010194087429291011,0.0005413130088342284,-0.0004780957340948728
90,ви,50,40,0.0009994203362050011,0.0008661008141347653,-0.0001333195220702358
91,між,49,50,0.0009794319294809011,0.0010826260176684567,0.0001031940881875556
92,ніколи,49,36,0.0009794319294809011,0.0007794907327212888,-0.00019994119675961232
93,їм,48,33,0.0009594435227568011,0.0007145331716611814,-0.0002449103510956197
94,діти,48,41,0.0009594435227568011,0.0008877533344881344,-7.169018826866673e-05
95,ніхто,47,34,0.000939455116032701,0.0007361856920145505,-0.00020326942401815051
96,себе,46,74,0.000919466709308601,0.0016022865061493157,0.0006828197968407147
97,теж,45,19,0.000899478302584501,0.0004113978867140135,-0.00048808041587048746
98,може,45,63,0.000899478302584501,0.0013641087822622553,0.0004646304796777544
99,землі,44,54,0.000879489895860401,0.0011692360990819331,0.00028974620322153217
100,смерть,44,37,0.000879489895860401,0.0008011432530746578,-7.834664278574311e-05
101,наші,44,52,0.000879489895860401,0.0011259310583751948,0.00024644116251479385
102,більше,44,48,0.000879489895860401,0.0010393209769617184,0.00015983108110131743
103,неї,43,30,0.0008595014891363009,0.0006495756106010739,-0.000209925878535227
104,нього,43,15,0.0008595014891363009,0.00032478780530053697,-0.000534713683835764
105,ці,43,33,0.0008595014891363009,0.0007145331716611814,-0.00014496831747511953
106,твої,43,17,0.0008595014891363009,0.00036809284600727523,-0.0004914086431290258
107,чому,42,16,0.0008395130824122009,0.00034644032565390613,-0.0004930727567582948
108,ця,41,26,0.0008195246756881009,0.0005629655291875974,-0.0002565591465005035
109,сніг,41,17,0.0008195246756881009,0.00036809284600727523,-0.0004514318296808257
110,щось,41,22,0.0008195246756881009,0.0004763554477741209,-0.00034316922791398
111,тим,40,31,0.0007995362689640009,0.0006712281309544431,-0.00012830813800955782
112,всіх,39,21,0.0007795478622399009,0.00045470292742075177,-0.00032484493481914914
113,повітря,39,11,0.0007795478622399009,0.00023817772388706046,-0.0005413701383528405
114,бути,39,21,0.0007795478622399009,0.00045470292742075177,-0.00032484493481914914
115,небо,38,31,0.0007595594555158008,0.0006712281309544431,-8.83313245613577e-05
116,цього,37,49,0.0007395710487917008,0.0010609734973150875,0.00032140244852338676
117,тих,37,50,0.0007395710487917008,0.0010826260176684567,0.0003430549688767559
118,доки,37,18,0.0007395710487917008,0.0003897453663606444,-0.0003498256824310564
119,цьому,37,12,0.0007395710487917008,0.0002598302442404296,-0.0004797408045512712
120,яка,37,25,0.0007395710487917008,0.0005413130088342284,-0.00019825803995747243
121,далі,37,18,0.0007395710487917008,0.0003897453663606444,-0.0003498256824310564
122,цю,37,33,0.0007395710487917008,0.0007145331716611814,-2.5037877130519364e-05
123,чого,36,29,0.0007195826420676008,0.0006279230902477049,-9.165955181989589e-05
124,війна,36,58,0.0007195826420676008,0.0012558461804954098,0.000536263538427809
125,тобою,36,18,0.0007195826420676008,0.0003897453663606444,-0.0003298372757069564
126,потім,35,56,0.0006995942353435008,0.0012125411397886714,0.0005129469044451707
127,йому,35,25,0.0006995942353435008,0.0005413130088342284,-0.0001582812265092724
128,речі,35,10,0.0006995942353435008,0.00021652520353369133,-0.00048306903180980943
129,поміж,35,18,0.0006995942353435008,0.0003897453663606444,-0.00030984886898285637
130,любов,35,26,0.0006995942353435008,0.0005629655291875974,-0.00013662870615590336
131,люди,34,38,0.0006796058286194008,0.000822795773428027,0.00014318994480862625
132,серце,34,29,0.0006796058286194008,0.0006279230902477049,-5.168273837169587e-05
133,каже,34,28,0.0006796058286194008,0.0006062705698943357,-7.333525872506503e-05
134,моя,34,39,0.0006796058286194008,0.0008444482937813962,0.0001648424651619954
135,треба,34,34,0.0006796058286194008,0.0007361856920145505,5.6579863395149715e-05
136,руки,34,38,0.0006796058286194008,0.000822795773428027,0.00014318994480862625
137,яких,33,26,0.0006596174218953007,0.0005629655291875974,-9.665189270770334e-05
138,ними,32,20,0.0006396290151712007,0.00043305040706738266,-0.00020657860810381807
139,мій,32,36,0.0006396290151712007,0.0007794907327212888,0.00013986171755008805
140,серед,32,29,0.0006396290151712007,0.0006279230902477049,-1.170592492349585e-05
141,би,32,33,0.0006396290151712007,0.0007145331716611814,7.490415648998068e-05
142,один,31,27,0.0006196406084471007,0.0005846180495409666,-3.502255890613416e-05
143,щоби,31,11,0.0006196406084471007,0.00023817772388706046,-0.0003814628845600403
144,тоді,31,18,0.0006196406084471007,0.0003897453663606444,-0.00022989524208645633
145,сьогодні,31,25,0.0006196406084471007,0.0005413130088342284,-7.832759961287237e-05
146,говорити,31,16,0.0006196406084471007,0.00034644032565390613,-0.0002732002827931946
147,кров,31,25,0.0006196406084471007,0.0005413130088342284,-7.832759961287237e-05
148,ті,31,22,0.0006196406084471007,0.0004763554477741209,-0.0001432851606729798
149,день,31,30,0.0006196406084471007,0.0006495756106010739,2.993500215397321e-05
150,дерева,30,7,0.0005996522017230006,0.00015156764247358393,-0.0004480845592494167
151,знову,30,21,0.0005996522017230006,0.00045470292742075177,-0.00014494927430224884
152,усе,30,43,0.0005996522017230006,0.0009310583751948727,0.0003314061734718721
153,вода,30,10,0.0005996522017230006,0.00021652520353369133,-0.0003831269981893093
154,земля,30,22,0.0005996522017230006,0.0004763554477741209,-0.00012329675394887968
155,одного,30,22,0.0005996522017230006,0.0004763554477741209,-0.00012329675394887968
156,світ,30,45,0.0005996522017230006,0.0009743634159016109,0.0003747112141786103
157,свободи,30,9,0.0005996522017230006,0.0001948726831803222,-0.0004047795185426784
158,ніч,29,34,0.0005796637949989006,0.0007361856920145505,0.00015652189701564987
159,ночі,29,17,0.0005796637949989006,0.00036809284600727523,-0.00021157094899162536
160,міста,29,33,0.0005796637949989006,0.0007145331716611814,0.00013486937666228082
161,смерті,29,21,0.0005796637949989006,0.00045470292742075177,-0.00012496086757814883
162,сонце,29,16,0.0005796637949989006,0.00034644032565390613,-0.00023322346934499447
163,всім,29,19,0.0005796637949989006,0.0004113978867140135,-0.0001682659082848871
164,після,29,27,0.0005796637949989006,0.0005846180495409666,4.954254542065967e-06
165,перед,29,34,0.0005796637949989006,0.0007361856920145505,0.00015652189701564987
166,свого,28,14,0.0005596753882748006,0.00030313528494716786,-0.0002565401033276327
167,очі,28,35,0.0005596753882748006,0.0007578382123679196,0.00019816282409311904
168,свою,28,31,0.0005596753882748006,0.0006712281309544431,0.00011155274267964251
169,жадан,28,0,0.0005596753882748006,0.0,0.0
170,вірш,28,24,0.0005596753882748006,0.0005196604884808592,-4.0014899793941396e-05
171,вас,28,16,0.0005596753882748006,0.00034644032565390613,-0.00021323506262089446
172,свій,28,19,0.0005596753882748006,0.0004113978867140135,-0.0001482775015607871
173,свобода,28,2,0.0005596753882748006,4.3305040706738266e-05,-0.0005163703475680624
174,знає,28,13,0.0005596753882748006,0.0002814827645937987,-0.0002781926236810019
175,нами,28,27,0.0005596753882748006,0.0005846180495409666,2.4942661266165976e-05
176,свободу,28,7,0.0005596753882748006,0.00015156764247358393,-0.0004081077458012167
177,головне,28,3,0.0005596753882748006,6.49575610601074e-05,-0.0004947178272146932
178,цих,27,20,0.0005396869815507006,0.00043305040706738266,-0.00010663657448331792
179,одне,27,11,0.0005396869815507006,0.00023817772388706046,-0.00030150925766364014
180,наших,27,16,0.0005396869815507006,0.00034644032565390613,-0.00019324665589679445
181,сам,27,12,0.0005396869815507006,0.0002598302442404296,-0.000279856737310271
182,нею,27,13,0.0005396869815507006,0.0002814827645937987,-0.0002582042169569019
183,от,27,12,0.0005396869815507006,0.0002598302442404296,-0.000279856737310271
184,десь,27,21,0.0005396869815507006,0.00045470292742075177,-8.498405412994881e-05
185,разом,27,19,0.0005396869815507006,0.0004113978867140135,-0.00012828909483668708
186,свої,27,24,0.0005396869815507006,0.0005196604884808592,-2.0026493069841386e-05
187,їй,27,23,0.0005396869815507006,0.00049800796812749,-4.1679013423210546e-05
188,кого,26,34,0.0005196985748266006,0.0007361856920145505,0.0002164871171879499
189,насправді,26,10,0.0005196985748266006,0.00021652520353369133,-0.00030317337129290924
190,зима,26,11,0.0005196985748266006,0.00023817772388706046,-0.00028152085093954013
191,часу,26,15,0.0005196985748266006,0.00032478780530053697,-0.0001949107695260636
192,вам,26,20,0.0005196985748266006,0.00043305040706738266,-8.664816775921791e-05
193,води,26,15,0.0005196985748266006,0.00032478780530053697,-0.0001949107695260636
194,крізь,26,31,0.0005196985748266006,0.0006712281309544431,0.00015152955612784253
195,кожен,26,21,0.0005196985748266006,0.00045470292742075177,-6.49956474058488e-05
196,аби,26,28,0.0005196985748266006,0.0006062705698943357,8.657199506773515e-05
197,довго,25,17,0.0004997101681025006,0.00036809284600727523,-0.00013161732209522533
198,який,25,43,0.0004997101681025006,0.0009310583751948727,0.00043134820709237213
199,колись,25,29,0.0004997101681025006,0.0006279230902477049,0.00012821292214520432
200,землю,25,31,0.0004997101681025006,0.0006712281309544431,0.00017151796285194254
201,будуть,25,12,0.0004997101681025006,0.0002598302442404296,-0.00023987992386207096
202,ним,25,7,0.0004997101681025006,0.00015156764247358393,-0.00034814252562891666
203,були,25,20,0.0004997101681025006,0.00043305040706738266,-6.66597610351179e-05
204,вітер,24,21,0.00047972176137840055,0.00045470292742075177,-2.5018833957648784e-05
205,хоча,24,10,0.00047972176137840055,0.00021652520353369133,-0.0002631965578447092
206,аж,24,19,0.00047972176137840055,0.0004113978867140135,-6.832387466438705e-05
207,світла,24,18,0.00047972176137840055,0.0003897453663606444,-8.997639501775616e-05
208,нема,24,30,0.00047972176137840055,0.0006495756106010739,0.00016985384922267339
209,стоять,24,5,0.00047972176137840055,0.00010826260176684566,-0.00037145915961155486
210,шо,24,2,0.00047972176137840055,4.3305040706738266e-05,-0.0004364167206716623
211,бог,24,25,0.00047972176137840055,0.0005413130088342284,6.15912474558278e-05
212,людей,24,19,0.00047972176137840055,0.0004113978867140135,-6.832387466438705e-05
213,сказати,23,10,0.0004597333546543005,0.00021652520353369133,-0.00024320815112060916
214,куди,23,19,0.0004597333546543005,0.0004113978867140135,-4.833546794028699e-05
215,якого,23,27,0.0004597333546543005,0.0005846180495409666,0.00012488469488666608
216,має,23,22,0.0004597333546543005,0.0004763554477741209,1.662209311982044e-05
217,мої,23,35,0.0004597333546543005,0.0007578382123679196,0.00029810485771361914
218,добре,23,16,0.0004597333546543005,0.00034644032565390613,-0.00011329302900039436
219,поки,23,57,0.0004597333546543005,0.0012341936601420406,0.0007744603054877402
220,додому,23,14,0.0004597333546543005,0.00030313528494716786,-0.00015659806970713262
221,одно,23,8,0.0004597333546543005,0.00017322016282695306,-0.0002865131918273474
222,чим,23,15,0.0004597333546543005,0.00032478780530053697,-0.00013494554935376352
223,надто,22,22,0.0004397449479302005,0.0004763554477741209,3.661049984392045e-05
224,світу,22,31,0.0004397449479302005,0.0006712281309544431,0.00023148318302424262
225,повітрі,22,9,0.0004397449479302005,0.0001948726831803222,-0.0002448722647498783
226,був,22,32,0.0004397449479302005,0.0006928806513078123,0.0002531357033776118
227,багато,22,16,0.0004397449479302005,0.00034644032565390613,-9.330462227629435e-05
228,ну,22,17,0.0004397449479302005,0.00036809284600727523,-7.165210192292524e-05
229,зовсім,22,18,0.0004397449479302005,0.0003897453663606444,-4.999958156955608e-05
230,можливо,22,7,0.0004397449479302005,0.00015156764247358393,-0.0002881773054566165
231,повертайся,22,4,0.0004397449479302005,8.661008141347653e-05,-0.00035313486651672394
232,жінки,21,27,0.00041975654120610047,0.0005846180495409666,0.0001648615083348661
233,твій,21,23,0.00041975654120610047,0.00049800796812749,7.825142692138956e-05
234,світло,21,22,0.00041975654120610047,0.0004763554477741209,5.659890656802046e-05
235,або,21,26,0.00041975654120610047,0.0005629655291875974,0.00014320898798149694
236,твоя,21,25,0.00041975654120610047,0.0005413130088342284,0.00012155646762812788
237,була,21,6,0.00041975654120610047,0.0001299151221202148,-0.00028984141908588567
238,крові,21,18,0.00041975654120610047,0.0003897453663606444,-3.0011174845456074e-05
239,хоч,21,46,0.00041975654120610047,0.00099601593625498,0.0005762593950488796
240,усіх,21,15,0.00041975654120610047,0.00032478780530053697,-9.49687359055635e-05
241,страх,21,18,0.00041975654120610047,0.0003897453663606444,-3.0011174845456074e-05
242,вірші,21,25,0.00041975654120610047,0.0005413130088342284,0.00012155646762812788
243,дихання,20,8,0.00039976813448200046,0.00017322016282695306,-0.0002265479716550474
244,мною,20,10,0.00039976813448200046,0.00021652520353369133,-0.00018324293094830913
245,же,20,34,0.00039976813448200046,0.0007361856920145505,0.00033641755753255
246,бачив,20,8,0.00039976813448200046,0.00017322016282695306,-0.0002265479716550474
247,неба,20,14,0.00039976813448200046,0.00030313528494716786,-9.66328495348326e-05
248,стільки,20,19,0.00039976813448200046,0.0004113978867140135,1.1629752232013041e-05
249,вогонь,20,18,0.00039976813448200046,0.0003897453663606444,-1.0022768121356065e-05
250,вулиці,20,11,0.00039976813448200046,0.00023817772388706046,-0.00016159041059494
251,років,20,17,0.00039976813448200046,0.00036809284600727523,-3.1675288474725225e-05
252,чекає,20,4,0.00039976813448200046,8.661008141347653e-05,-0.0003131580530685239
253,взагалі,20,5,0.00039976813448200046,0.00010826260176684566,-0.0002915055327151548
254,такий,19,20,0.0003797797277579004,0.00043305040706738266,5.3270679309482265e-05
255,два,19,13,0.0003797797277579004,0.0002814827645937987,-9.829696316410169e-05
256,дітей,19,20,0.0003797797277579004,0.00043305040706738266,5.3270679309482265e-05
257,приходить,19,4,0.0003797797277579004,8.661008141347653e-05,-0.00029316964634442386
258,само,19,10,0.0003797797277579004,0.00021652520353369133,-0.00016325452422420906
259,море,19,14,0.0003797797277579004,0.00030313528494716786,-7.664444281073253e-05
260,чорна,19,9,0.0003797797277579004,0.0001948726831803222,-0.0001849070445775782
261,через,19,25,0.0003797797277579004,0.0005413130088342284,0.00016153328107632796
262,вночі,19,6,0.0003797797277579004,0.0001299151221202148,-0.0002498646056376856
263,мати,19,16,0.0003797797277579004,0.00034644032565390613,-3.333940210399427e-05
264,така,19,29,0.0003797797277579004,0.0006279230902477049,0.0002481433624898045
265,слово,19,14,0.0003797797277579004,0.00030313528494716786,-7.664444281073253e-05
266,якими,19,6,0.0003797797277579004,0.0001299151221202148,-0.0002498646056376856
267,краще,18,9,0.0003597913210338004,0.0001948726831803222,-0.0001649186378534782
268,собою,18,23,0.0003597913210338004,0.00049800796812749,0.00013821664709368965
269,бачиш,18,18,0.0003597913210338004,0.0003897453663606444,2.995404532684401e-05
270,проти,18,9,0.0003597913210338004,0.0001948726831803222,-0.0001649186378534782
271,нині,18,19,0.0003597913210338004,0.0004113978867140135,5.1606565680213114e-05
272,листя,18,6,0.0003597913210338004,0.0001299151221202148,-0.0002298761989135856
273,якому,18,17,0.0003597913210338004,0.00036809284600727523,8.301524973474848e-06
274,самі,18,9,0.0003597913210338004,0.0001948726831803222,-0.0001649186378534782
275,усі,18,30,0.0003597913210338004,0.0006495756106010739,0.00028978428956727355
276,таке,18,27,0.0003597913210338004,0.0005846180495409666,0.00022482672850716618
277,можеш,18,10,0.0003597913210338004,0.00021652520353369133,-0.00014326611750010906
278,їхні,18,19,0.0003597913210338004,0.0004113978867140135,5.1606565680213114e-05
279,живе,18,4,0.0003597913210338004,8.661008141347653e-05,-0.00027318123962032385
280,слів,18,23,0.0003597913210338004,0.00049800796812749,0.00013821664709368965
281,кому,18,12,0.0003597913210338004,0.0002598302442404296,-9.996107679337079e-05
282,уже,17,38,0.0003398029143097004,0.000822795773428027,0.0004829928591183266
283,голос,17,20,0.0003398029143097004,0.00043305040706738266,9.324749275768228e-05
284,боку,17,2,0.0003398029143097004,4.3305040706738266e-05,-0.0002964978736029621
